Frequencies,Band_A_Power,Band_B_Power
0.368,19332196.439978283,34928608.21100693
0.369,19139520.330094956,34787541.33406484
0.37,18950622.823693987,34647732.08037654
0.371,18765424.897806846,34509164.2071243
0.372,18583847.7975639,34371821.73367514
0.373,18405813.208624948,34235688.936534435
0.374,18231243.40962222,34100750.34441207
0.375,18060061.406288225,33966990.73339828
0.376,17892191.04883214,33834395.12224645
0.377,17727557.134022906,33702948.76776018
0.378,17566085.49333613,33572637.160282
0.379,17407703.068424653,33443446.019281134
0.38,17252337.97508058,33315361.289038025
0.381,17099919.556768723,33188369.134423025
0.382,16950378.428728767,33062455.936767016
0.383,16803646.513565492,32937608.289821688
0.384,16659657.069173194,32813812.99580731
0.385,16518344.70977163,32691057.061545685
0.386,16379645.420767171,32569327.69467641
0.387,16243496.568092735,32448612.299954325
0.388,16109836.902624689,32328898.47562608
0.389,15978606.560223369,32210174.0098841
0.39,15849747.057895942,32092426.87739585
0.391,15723201.28653614,31975645.235906806
0.392,15598913.500654673,31859817.422915187
0.393,15476829.305476142,31744931.952416793
0.394,15356895.64174384,31630977.51171829
0.395,15239060.768541686,31517942.95831729
0.396,15123274.244413259,31405817.316847615
0.397,15009486.907030903,31294589.776088223
0.398,14897650.851643197,31184249.686034337
0.399,14787719.408506472,31074786.555029154
0.4,14679647.119485265,30966190.046954937
0.401,14573389.713987812,30858449.978481855
0.402,14468904.084385311,30751556.31637343
0.403,14366148.261047928,30645499.174847156
0.404,14265081.38711628,30540268.812988985
0.405,14165663.693113884,30435855.63222051
0.406,14067856.47149435,30332250.1738176
0.40700000000000003,13971622.051206177,30229443.11647927
0.40800000000000003,13876923.772348264,30127425.273945644
0.40900000000000003,13783725.960980393,30026187.592663903
0.41000000000000003,13691993.904144855,29925721.149501085
0.41100000000000003,13601693.825148078,29826017.14950271
0.41200000000000003,13512792.859144652,29727066.92369618
0.41300000000000003,13425259.029060155,29628861.926937845
0.41400000000000003,13339061.22188371,29531393.735802952
0.41500000000000004,13254169.165356692,29434654.046517212
0.41600000000000004,13170553.405079324,29338634.672929376
0.417,13088185.282053279,29243327.54452367
0.418,13007036.910674786,29148724.7044712
0.419,12927081.157189753,29054818.30771966
0.42,12848291.618619388,28961600.619120266
0.421,12770642.602162685,28869064.011591118
0.422,12694109.105079643,28777200.964316383
0.423,12618666.795057265,28686004.060980253
0.424,12544291.991058612,28595465.988035027
0.425,12470961.644653806,28505579.53300263
0.426,12398653.321830276,28416337.58280868
0.427,12327345.185278637,28327733.122148566
0.428,12257015.977149446,28239759.231884625
0.429,12187645.002275238,28152409.08747404
0.43,12119212.111851428,28065675.95742644
0.431,12051697.687569132,27979553.20179088
0.432,11985082.626192335,27894034.270671323
0.433,11919348.324571358,27809112.702770207
0.434,11854476.665084317,27724782.1239593
0.435,11790450.00149779,27641036.245877426
0.436,11727251.145237844,27557868.864554405
0.437,11664863.352062272,27475273.859060682
0.438,11603270.309124779,27393245.190182004
0.439,11542456.122421827,27311776.89911881
0.44,11482405.304612726,27230863.106209558
0.441,11423102.763203586,27150498.009677794
0.442,11364533.789085776,27070675.88440207
0.443,11306684.045419512,26991391.08070865
0.444,11249539.556853415,26912638.02318618
0.445,11193086.699070752,26834411.20952215
0.446,11137312.188653374,26756705.20936039
0.447,11082203.07325446,26679514.663179502
0.448,11027746.722071141,26602834.281191472
0.449,10973930.816608498,26526658.8422603
0.45,10920743.341726333,26450983.192840066
0.451,10868172.576960485,26375802.245932158
0.452,10816207.088110464,26301110.980061106
