Frequencies,Band_A_Power,Band_B_Power,Coherence,Phase Lags,Time Lags
0.0,0.0,0.0,0.0,-4.1888,
0.001,0.07399409285559605,0.04802414855086927,0.027710842785652685,-4.1888,-666.6682256233311
0.002,0.07435559455877308,0.04806566300276699,0.02805975400933541,-4.1888,-333.33411281166553
0.003,0.07472143517774704,0.048076585908546424,0.0284312218324733,-4.1888,-222.22274187444373
0.004,0.07509168975345286,0.04805736140712648,0.028825939883981428,-4.1888,-166.66705640583277
0.005,0.07546643286287891,0.04800858460415457,0.02924460517481307,-4.1888,-133.33364512466622
0.006,0.07584573846976095,0.047930995281246974,0.02968791663794816,-4.1888,-111.11137093722186
0.007,0.07622967976496976,0.04782547003782908,0.03015657353968864,-4.1888,-95.23831794619016
0.008,0.07661832899610067,0.047693013032950524,0.030651273757945918,-4.1888,-83.33352820291638
0.009000000000000001,0.07701175728576298,0.04753474551957051,0.031172711923657417,-4.1888,-74.07424729148123
0.01,0.07741003443805737,0.04735189438263095,0.0317215774220139,-4.1888,-66.66682256233311
0.011,0.07781322873272199,0.047145779904400144,0.032298552250823336,-4.1888,-60.60620232939375
0.012,0.07822140670642207,0.04691780298601298,0.032904308734087485,-4.1888,-55.55568546861093
0.013000000000000001,0.07863463292065345,0.046669432053075374,0.03353950708972955,-4.1888,-51.2821712017947
0.014,0.07905296971572912,0.046402189866105344,0.03420479285139042,-4.1888,-47.61915897309508
0.015,0.07947647695032017,0.046117640444130095,0.03490079414531197,-4.1888,-44.44454837488875
0.016,0.07990521172602508,0.045817376292775915,0.03562811882455076,-4.1888,-41.66676410145819
0.017,0.08033922809645158,0.045503006107615346,0.03638735146411634,-4.1888,-39.215777977843004
0.018000000000000002,0.08077857676030574,0.045176143100353935,0.03717905022210489,-4.1888,-37.037123645740614
0.019,0.08122330473800027,0.04483839407063257,0.038003743573499615,-4.1888,-35.08780134859638
0.02,0.08167345503131584,0.04449134932072292,0.03886192692502797,-4.1888,-33.333411281166555
0.021,0.08212906626567583,0.04413657348505868,0.039754059121298015,-4.165122608695651,-31.56665960751062
0.022,0.0825901723146287,0.043775597322113634,0.04068055885436963,-4.141445217391304,-29.960521722368874
0.023,0.08305680190617235,0.04340991049322766,0.04164180099093991,-4.117767826086956,-28.49404800115248
0.024,0.08352897821060193,0.04304095533206928,0.04263811283341835,-4.094090434782608,-27.149780423370792
0.025,0.08400671840961868,0.042670121589854795,0.04366977033331802,-4.07041304347826,-25.91305425181164
0.026000000000000002,0.08449003324650135,0.042298742125429514,0.044736994277569005,-4.046735652173912,-24.77146086268011
0.027,0.08497892655721595,0.04192808949595216,0.045839946470544096,-4.023058260869565,-23.714429946817596
0.028,0.08547339478242362,0.04155937339320047,0.046978725936743335,-3.9993808695652167,-22.732901239230962
0.029,0.08597342646044144,0.04119373886233942,0.04815336517117919,-3.975703478260869,-21.819064166650307
0.03,0.08647900170131806,0.04083226523420264,0.04936382646649989,-3.952026086956521,-20.966149565575034
0.031,0.08699009164230542,0.04047596569851972,0.05060999834774582,-3.9283486956521734,-20.168261712956227
0.032,0.08750665788514035,0.04012578744383496,0.051891692147308564,-3.9046713043478256,-19.42024185112609
0.033,0.08802865191569653,0.03978261228984302,0.05320863875411014,-3.8809939130434774,-18.71755652637657
0.034,0.0885560145067283,0.03944725773924784,0.05456048557219477,-3.8573165217391296,-18.05620563249467
0.035,0.0890886751046045,0.0391204783787719,0.05594679372478226,-3.833639130434782,-17.432646218263166
0.036000000000000004,0.08962655120112238,0.03880296756235541,0.05736703554032241,-3.809961739130434,-16.84372899371119
0.037,0.09016954769169987,0.03849535931366117,0.05882059235717397,-3.7862843478260864,-16.28664513264851
0.038,0.09071755622146943,0.03819823038953699,0.06030675268316592,-3.7626069565217386,-15.758881474799654
0.039,0.09127045452103823,0.03791210245090535,0.06182471074544728,-3.738929565217391,-15.258182619917406
0.04,0.09182810573393685,0.03763744429249698,0.06337356546466665,-3.7152521739130426,-14.782518707779268
0.041,0.09239035773805361,0.03737467408779772,0.06495231988561603,-3.691574782608695,-14.330057913306408
0.042,0.09295704246364205,0.037124161610435816,0.06655988109401363,-3.667897391304347,-13.899142870951302
0.043000000000000003,0.09352797521079441,0.03688623039792298,0.06819506064608079,-3.6442199999999993,-13.488270388705738
0.044,0.09410295396959402,0.03666115982812428,0.06985657553399159,-3.6205426086956516,-13.096073928380427
0.045,0.09468175874649205,0.03644918708303114,0.07154304970615992,-3.596865217391304,-12.721308421847349
0.046,0.09526415090079868,0.036250508978330154,0.07325301615670421,-3.573187826086956,-12.362837067772233
0.047,0.09584987249553074,0.0360652836408939,0.07498491959333461,-3.549510434782608,-12.019619813870523
0.048,0.09643864566721776,0.0358936320196722,0.07673711968739928,-3.5258330434782605,-11.69070327888139
0.049,0.09703017201963153,0.035735639218553016,0.07850789490396463,-3.5021556521739123,-11.375211908585687
0.05,0.0976241320467657,0.03559135564261192,0.08029544690367456,-3.4784782608695646,-11.072340193101812
0.051000000000000004,0.09822018459075209,0.035460797951810674,0.08209790550181437,-3.454800869565217,-10.781345799793778
0.052000000000000005,0.09881796634074777,0.03534394981867032,0.08391333416360333,-3.4311234782608686,-10.501543498536048
0.053,0.09941709137916438,0.03524076248877192,0.08573973600834965,-3.4074460869565213,-10.232299774684275
0.054,0.10001715078192504,0.0351511551451655,0.08757506028884053,-3.383768695652173,-9.973028040604788
0.055,0.10061771227972477,0.03507501507993553,0.08941720930631439,-3.3600913043478258,-9.72318436958274
0.056,0.10121831998752623,0.03501219767831835,0.09126404571568414,-3.3364139130434776,-9.482263686811475
0.057,0.10181849420973842,0.03496252622292927,0.0931134001704618,-3.31273652173913,-9.249796361330429
0.058,0.10241773132869521,0.034925791527871855,0.09496307925217307,-3.289059130434782,-9.025345150521145
0.059000000000000004,0.1030155037841608,0.0349017514147975,0.0968108736250447,-3.2653817391304343,-8.808502455332516
0.06,0.10361126015163791,0.0348901300453889,0.09865456635347755,-3.2417043478260865,-8.598887849983509
0.061,0.10420442532722815,0.034890617127274676,0.10049194131735509,-3.2180269565217388,-8.396145854645944
0.062,0.1047944008266861,0.0349028670130586,0.10232079165863396,-3.194349565217391,-8.199943923674105
0.063,0.1053805652061119,0.03492649771496925,0.10413892819195922,-3.170672173913043,-8.00997062543153
0.064,0.10596227461143062,0.03496108986059914,0.1059441877122529,-3.146994782608695,-7.825933992759037
0.065,0.10653886346340512,0.035006185618288235,0.10773444113335295,-3.1233173913043473,-7.647560025707237
0.066,0.10710964528441508,0.03506128762388435,0.10950760139379558,-3.0996399999999995,-7.474591330384278
0.067,0.10767391367260187,0.03512585794383626,0.11126163106871226,-3.0759626086956517,-7.306785879697826
0.068,0.10823094342822305,0.03519931711278229,0.11299454963048872,-3.0522852173913035,-7.143915883443328
0.069,0.10877999183617769,0.03528104328690687,0.11470444030524092,-3.0286078260869562,-6.985766756645484
0.07,0.10932030010765523,0.03537037155725361,0.11638945647721362,-3.004930434782608,-6.832136176327575
0.07100000000000001,0.10985109498272132,0.0354665934697876,0.11804782759880472,-2.9812530434782603,-6.682833217990454
0.07200000000000001,0.11037159049439597,0.035568956801160165,0.11967786456995799,-2.9575756521739125,-6.537677564051586
0.073,0.11088098989339738,0.035676665640693064,0.12127796455703323,-2.933898260869565,-6.396498777343924
0.074,0.11137848773123536,0.035788880829905424,0.12284661522784525,-2.910220869565217,-6.2591356335202475
0.075,0.11186327209774813,0.035904720810780215,0.12438239838623996,-2.886543478260869,-6.1254355068652035
0.076,0.11233452700749871,0.03602326293273176,0.1258839929962418,-2.8628660869565214,-5.995253804595819
0.077,0.11279143492770242,0.03614354526571739,0.1273501775923448,-2.8391886956521732,-5.868453445242522
0.078,0.11323317943855994,0.036264568962973545,0.12877983207883775,-2.815511304347826,-5.744904377154696
0.079,0.1136589480150475,0.03638530121130667,0.13017193892705545,-2.7918339130434777,-5.62448313357542
0.08,0.1140679349173895,0.036504678799627675,0.1315255837850537,-2.76815652173913,-5.507072421085627
0.081,0.1144593441756378,0.036621612327419985,0.1328399555193517,-2.744479130434782,-5.392560738533854
0.082,0.1148323926520334,0.03673499106407138,0.13411434571300918,-2.720801739130434,-5.280842023849196
0.083,0.1151863131631643,0.03684368845754135,0.1353481476483739,-2.6971243478260867,-5.1718153263858575
0.084,0.115520357642385,0.036946568276820496,0.13654085480631475,-2.6734469565217385,-5.065384502671644
0.085,0.11583380032156373,0.03704249135729528,0.13769205891663017,-2.6497695652173907,-4.961457933633059
0.08600000000000001,0.11612594091000324,0.03713032290177886,0.13880144759659757,-2.626092173913043,-4.859948261548861
0.08700000000000001,0.11639610774736828,0.03720894027301872,0.13986880161630005,-2.602414782608695,-4.760772145144759
0.088,0.116643660906679,0.037277241196436176,0.14089399183046764,-2.5787373913043474,-4.663850031386206
0.089,0.1168679952229163,0.03733415227526308,0.1418769758171174,-2.5550599999999997,-4.569105942655933
0.09,0.11706854322255848,0.03737863770473831,0.14281779426330882,-2.531382608695652,-4.476467278119667
0.091,0.11724477792944062,0.037409708058266315,0.14371656713789416,-2.507705217391304,-4.385864628188594
0.092,0.11739621552271733,0.037426429007077384,0.14457348969027495,-2.4840278260869564,-4.297231601082109
0.093,0.11752241782341845,0.037427929826588914,0.14538882831293373,-2.460350434782608,-4.210504660580065
0.094,0.11762299458712051,0.0374134115379015,0.14616291630393854,-2.4366730434782604,-4.125622974131255
0.095,0.11769760558160562,0.03738215453212608,0.14689614956377298,-2.4129956521739127,-4.042528270555052
0.096,0.11774596243003692,0.037333525528837,0.14758898225877437,-2.389318260869565,-3.961164706636687
0.097,0.11776783020212428,0.03726698372802928,0.14824192248122045,-2.365640869565217,-3.8814787419743704
0.098,0.11776302873796372,0.03718208602748081,0.1488555279337323,-2.341963478260869,-3.8034190214888355
0.099,0.11773143369167813,0.03707849119414497,0.149430401663209,-2.318286086956521,-3.7269362650535136
0.1,0.11767297728463254,0.036955962898688396,0.1499671878670139,-2.2946086956521734,-3.6519831637468987
0.101,0.11758764876080063,0.03681437154592437,0.15046656779163178,-2.2709313043478256,-3.578514282268137
0.10200000000000001,0.11747549453978402,0.03665369485989956,0.15092925574154314,-2.247253913043478,-3.506485967092881
0.10300000000000001,0.11733661806597717,0.0364740172098718,0.15135599521364718,-2.22357652173913,-3.4358562599792797
0.10400000000000001,0.11717117935539192,0.03627552769140028,0.15174755517022848,-2.199899130434782,-3.3665848164640164
0.105,0.11697939424464689,0.03605851700425488,0.15210472646123077,-2.1762217391304346,-3.298632829015713
0.106,0.11676153334955182,0.03582337319486761,0.15242831840448312,-2.152544347826087,-3.2319629545381305
0.107,0.11651792074352099,0.03557057635470077,0.15271915553054002,-2.128866956521739,-3.1665392459386337
0.108,0.11624893236869437,0.035300692386414374,0.1529780744969511,-2.105189565217391,-3.1023270874983866
0.109,0.11595499419509028,0.03501436596646608,0.15320592117507456,-2.081512173913043,-3.0392931338001627
0.11,0.11563658014532317,0.034712312845329454,0.15340354791099828,-2.0578347826086953,-2.9774052519873613
0.111,0.11529420980436435,0.034395311634635294,0.15357181096072997,-2.0341573913043476,-2.9166324671441597
0.112,0.11492844593548061,0.034064195234181575,0.1537115680985644,-2.01048,-2.85694491060173
0.113,0.11453989182483615,0.033719842051066755,0.15382367639642475,-1.9868026086956516,-2.798313770989253
0.114,0.11412918847827488,0.03336316715848976,0.15390899017100748,-1.9631252173913039,-2.7407112478612072
0.115,0.11369701169451056,0.03299511353347937,0.1539683590947226,-1.939447826086956,-2.6841105077440837
0.116,0.1132440690393399,0.03261664350151938,0.15400262646571258,-1.9157704347826083,-2.6284856424565657
0.117,0.11277109674556819,0.03222873050234981,0.15401262763164175,-1.8920930434782606,-2.5738116295671247
0.11800000000000001,0.11227885656310856,0.03183235127580195,0.15399918856146863,-1.8684156521739128,-2.5200642948622507
0.11900000000000001,0.11176813258320392,0.03142847855002359,0.15396312455903416,-1.8447382608695646,-2.467220276707038
0.12,0.11123972805994647,0.031018074297492024,0.1539052391120146,-1.8210608695652173,-2.415256992187747
0.121,0.11069446225125718,0.03060208360736569,0.15382632286958656,-1.7973834782608695,-2.364152604933236
0.122,0.11013316730026815,0.03018142920648648,0.1537271527420266,-1.7737060869565218,-2.313885994518964
0.123,0.1095566851766505,0.029757006646122346,0.15360849111541194,-1.7500286956521736,-2.2644367273634596
0.124,0.10896586469588321,0.029329680157655174,0.15347108517458954,-1.7263513043478258,-2.2157850290330448
0.125,0.10836155863279619,0.02890027916809993,0.15331566632763702,-1.702673913043478,-2.167911757875916
0.126,0.10774462094397277,0.028469595455729062,0.15314294972513898,-1.6789965217391303,-2.120798379911758
0.127,0.10711590411179565,0.02803838091723617,0.15295363386773775,-1.6553191304347825,-2.0744269449076653
0.128,0.1064762566210947,0.027607345910796083,0.15274840029559225,-1.6316417391304343,-2.028780063575511
0.129,0.10582652057753186,0.027177158134005477,0.15252791335357213,-1.6079643478260865,-1.9838408858299024
0.13,0.1051675294750626,0.026748441991907398,0.15229282002623357,-1.5842869565217388,-1.9395930800496106
0.131,0.10450010611806729,0.02632177840797595,0.15204374983686006,-1.560609565217391,-1.8960208132888656
0.132,0.10382506070207023,0.02589770502989942,0.15178131480509663,-1.5369321739130433,-1.8531087323881317
0.133,0.10314318905537347,0.025476716782076247,0.15150610945796422,-1.5132547826086955,-1.8108419459370328
0.134,0.10245527104244269,0.02505926671775056,0.1512187108893023,-1.4895773913043473,-1.7692060070449052
0.135,0.10176206912850275,0.02464576712548616,0.15091967886295252,-1.4658999999999995,-1.7281868968771057
0.136,0.10106432710354021,0.0242365908470446,0.1506095559552608,-1.4422226086956518,-1.6877710089176565
0.137,0.10036276896277314,0.02383207276654061,0.15028886773273809,-1.418545217391304,-1.6479451339211189
0.138,0.09965809793963959,0.02343251143385861,0.1499581229609788,-1.3948678260869563,-1.608696445518734
0.139,0.09895099568647353,0.023038170788606795,0.14961781384118833,-1.371190434782608,-1.570012486445879
0.14,0.0982421215972823,0.022649281954256906,0.1492684162709193,-1.3475130434782603,-1.5318811553597798
0.14100000000000001,0.09753211226640625,0.022266045075481796,0.148910390125853,-1.3238356521739125,-1.4942906942181644
