Frequency,Band_A_Power,Band_A_Error,Band_B_Power,Band_B_Error,Coherence,Coherence_Error,Phase_Lags,Phase_Lags_Error,Time_Lags,Time_Lags_Inv,Time_Lags_Error
0.0625,0.11112081879941704,0.01411235809989112,0.04202881452286845,0.005337664782071744,0.09255982552083339,0.04958478326829891,2.6021507887139554,0.2811815981947752,-9.373677428891197,9.373677428891197,16.0
0.125,0.09450626725253146,0.01200230794338544,0.033052795082636366,0.00419770917320609,0.020606457575373067,0.025250969593232666,-2.1104300484207315,0.6191075580036456,-2.6870829940466194,2.6870829940466194,0.78827222529466
0.21875,0.07263707373345787,0.006659064516919934,0.009856122471689922,0.0008970667938223666,0.04830296973232995,0.02656377454926518,0.05510117472385654,0.28186204616814137,0.040089711211300436,-0.040089711211300436,0.205073087623569
0.3125,0.08003522677560186,0.010164483964990484,0.0051467193766334745,0.0006536340144667925,0.15899038526706996,0.06022898506110957,0.6485328969633403,0.20654001630709906,0.33029509219015185,-0.33029509219015185,0.10518996653297756
0.40625,0.034333772566445944,0.003101977495998919,0.0033461478531464353,0.00030258669082128893,0.04226168590896188,0.025004859916461536,-0.13046693126381423,0.30229027897357297,-0.051112509589333104,0.051112509589333104,0.11842705759328534
0.5625,0.0192900869904777,0.0014174927722041646,0.0021302326021866006,0.00015623641219194903,0.01886207645697064,0.013972796654712986,0.2188645394661719,0.3739373198206575,0.061925997019684396,-0.061925997019684396,0.10580261841065354
0.75,0.014021534058243268,0.0010390220287347532,0.0016570041375170118,0.00012569165932879343,0.04996201033393494,0.022020108277313887,0.7249361090390853,0.22608880773044798,0.15383622023916754,-0.15383622023916754,0.047977535104071885
0.9375,0.010253761395666623,0.0007525554442174405,0.0014834154622853067,0.00010932457755758554,0.015122676515267464,0.012558998107007635,1.1400285954116511,0.4184130947920718,0.1935372653075997,-0.1935372653075997,0.07103201310990506
1.1875,0.008577931364202037,0.0004900930525838708,0.0011656993435427232,6.694383193020054e-05,0.002758632897381459,0.0042070860191990985,1.9399826663771464,0.7635849191589912,0.26000659441391,-0.26000659441391,0.10233963314069788
1.5,0.008322919902113491,0.0004792647947646523,0.0009635073081976239,5.576381071501835e-05,0.01209259849394917,0.008725899502316647,1.394113087093041,0.3629965171864892,0.1479199926933063,-0.1479199926933063,0.038515126690247925
1.84375,0.007651297700073279,0.000397375893247317,0.0008365589042053532,4.39687711657765e-05,0.012224948717326746,0.008008019161575642,1.696240729981273,0.32954826963964373,0.1464217474442438,-0.1464217474442438,0.028447043308762077
2.28125,0.005776749193297043,0.00026384517595536705,0.000788444849705228,3.571201826683583e-05,0.0022646691017469624,0.0030150317392098245,0.9651852872500917,0.66642220958107,0.06733764798484296,-0.06733764798484296,0.04649397867004947
2.78125,0.005752415680628104,0.00025945003547239606,0.0007484995411314659,3.3746917575794566e-05,0.002003483958193348,0.0028365870736396723,1.8660069826713026,0.7086238118441517,0.10678084858827164,-0.10678084858827164,0.04055046559914352
3.375,0.004972110331423366,0.00019159393243221588,0.0006632823673668311,2.5628358505607687e-05,0.0023254871414257437,0.0026053655084453996,2.520589567999063,0.5608287674028308,0.1188634931119751,-0.1188634931119751,0.02644701349934677
4.125,0.004677303303715253,0.00016533502841194227,0.0006276931496639584,2.2225390467728668e-05,0.00070305389509207,0.0013198857694032482,-2.737905278403117,0.9390105074655635,0.13678759787266714,-0.13678759787266714,0.03622985790990873
5.0,0.0042129086587479325,0.00013948922133217833,0.0005559494754883883,1.8361597243817776e-05,0.0030953367751465773,0.0025720600556563156,3.0266159931491954,0.41611789022075935,0.09634017923013613,-0.09634017923013613,0.013245443827520902
6.0625,0.003961181487344611,0.00011623459184308547,0.0005505805825097805,1.6226578612031857e-05,8.049043724034795e-06,0.00011689905495693418,-0.924181575728288,7.2617027208778575,0.14068650456220802,-0.14068650456220802,0.19063684672850756
7.34375,0.0039092494168751065,0.00010669032276322395,0.0005212123677145867,1.4185731961400027e-05,1.2782789972531579e-05,0.00013690366914865932,3.054500605768822,5.355033778097795,0.06619763337331701,-0.06619763337331701,0.11605516203687923
8.875,0.003648853413774885,9.00162397871085e-05,0.0004790428164804285,1.1811747292730818e-05,0.00021867088843144337,0.0005110198589719482,-0.1986445745626163,1.1685957476694768,0.10911377284957442,-0.10911377284957442,0.02095637067242439
10.71875,0.0034168845682130294,7.733349453787764e-05,0.0004958627415585911,1.1209367548818448e-05,0.00010756338926055612,0.00032925295872056093,-0.3248882526028295,1.530588940135078,0.08847043066082996,-0.08847043066082996,0.02272660484331501
12.90625,0.0035168962031129304,7.294383679277797e-05,0.000478875933166308,9.961433288330042e-06,0.00011749780459102079,0.00031578478350754,1.031167799841182,1.3438690971766964,0.09019780745777574,-0.09019780745777574,0.016572080169229165
