A_Time,Band_A_Flux,Band_B_Flux
0.0,25.520847075626932,344.290250121821
0.0625,11.580284391150071,284.8862627865812
0.125,18.0230099817892,303.08275475132626
0.1875,21.373197024610434,295.67041507563755
0.25,40.95207424448359,354.0483415386043
0.3125,33.33536743286114,338.02540797275367
0.375,16.430017891826733,331.7541417418164
0.4375,36.38465064706723,297.11951695712355
0.5,36.42132017799286,279.5025248739036
0.5625,38.67344852357755,271.91593450489387
0.625,35.173050400581346,283.27001620063504
0.6875,67.18159173933205,259.2851220020894
0.75,49.85885293217965,287.1428936038547
0.8125,51.00512266990734,273.01766768646564
0.875,34.41658542633507,317.14334521023704
0.9375,37.63294348895171,289.84199985145307
1.0,55.77058888430065,347.51728782002664
1.0625,33.55075325292766,327.0034144618106
1.125,51.340006272721965,301.0559399732049
1.1875,29.682534728826965,312.438888523767
1.25,25.06935244057702,278.5485027876089
1.3125,26.627077610311655,295.50042601993545
1.375,5.477668422296489,262.6508048863062
1.4375,24.42165091929859,271.3293776903794
1.5,38.619407865722316,319.83430852344804
1.5625,25.376381831341718,308.8663771757989
1.625,33.88949455013052,281.6491334684714
1.6875,30.20643879331606,259.9039226461391
1.75,20.073921672074086,294.75712840446977
1.8125,30.75496976123326,282.9617373722965
1.875,38.605896360026435,272.13700177819373
1.9375,36.8326419696146,302.6104610336688
2.0,38.71789029010049,275.57065048868435
2.0625,22.522189373741313,273.3033569908987
2.125,21.77152670017615,285.47750836605144
2.1875,22.989082497616717,295.3152921007468
2.25,18.90410156260504,297.6821559024831
2.3125,13.05995719755866,264.6340105818503
2.375,22.179080407339434,339.2196177494818
2.4375,34.39372818901877,299.7624858591328
2.5,18.75913879231248,306.47109064033697
2.5625,21.513660015510293,273.5203158773794
2.625,22.35980860404269,291.08031239684436
2.6875,55.89791983224955,308.62055024300867
2.75,56.044203705285696,297.7279524188404
2.8125,73.57337320561044,306.05616969968776
2.875,44.919209092138125,306.14686748216076
2.9375,53.31719121731715,324.20790146170344
3.0,48.32423114218385,257.8886060308699
3.0625,59.89894856348521,289.0916543530576
3.125,83.22266207864726,293.21908627597014
3.1875,64.8828545615554,281.15031787386863
3.25,85.47641744261168,307.9102812179765
3.3125,58.610655612653105,297.26278122888255
3.375,45.8879639417139,274.3146962730478
3.4375,43.00017103398468,289.7904071771211
3.5,55.06566677174912,280.5046526818553
3.5625,75.71731403082948,292.7979108408225
3.625,62.13618600756901,288.57092221721257
3.6875,47.77277161086302,320.79346309404195
3.75,74.52855582802843,302.165462054817
3.8125,63.87408684232245,312.4012098330889
3.875,75.45562999050182,345.50040567160767
3.9375,58.95591646491972,326.51448710765436
4.0,49.5737720214739,300.8702854687782
4.0625,43.9592874474202,306.74790631614155
4.125,75.68610982405978,318.3390062401021
4.1875,75.81019720473627,339.11119544153365
4.25,51.331293824579824,343.7020010420317
4.3125,42.67672108252174,356.28526904946693
4.375,64.32529586281751,357.2555533180056
4.4375,36.20671762083892,398.7820698272608
4.5,48.393009337013034,352.8795881524952
4.5625,59.1283881776344,333.71403583987257
4.625,50.32351453843438,314.7623953335644
4.6875,46.695497472981295,316.3427738328296
4.75,54.60037818002072,311.85507146751434
4.8125,30.46772948419338,351.32925165746974
4.875,53.475469123339444,307.5063320289621
4.9375,61.68026862125036,347.49115294167075
5.0,32.32243918011885,349.2661080670919
5.0625,33.34626083341701,280.12401923403223
5.125,55.02772015679187,339.75631429202605
5.1875,47.518232686680676,319.2621757292868
5.25,57.18076727377951,344.62971199101594
5.3125,42.86563693864049,318.39716973317724
5.375,47.85680254407287,319.5368569790673
5.4375,32.33512616698633,361.2039878240615
5.5,49.16667907017457,346.9239055712937
5.5625,31.231749204977266,399.6563039652531
5.625,43.68114134403286,323.85076538573435
5.6875,37.18389448776699,374.820455567031
5.75,28.030142343698927,389.1004360511647
5.8125,44.376251471073864,377.94332693387247
5.875,51.40129060965878,356.94104642401913
5.9375,60.254444239150416,327.77884037489684
6.0,68.11842050630419,363.290213463964
6.0625,65.62685865152667,353.12709183645796
6.125,55.1179711283562,337.3483340038279
6.1875,52.40656184250898,365.51871286627494
6.25,64.79304719215051,334.21419933402984
6.3125,56.24601313011024,297.096533692754
6.375,43.9464012010458,323.55340652845075
6.4375,53.64232567027127,346.73708714714786
6.5,77.63153747474296,326.3214033431704
6.5625,66.7630075249464,355.51870690661167
6.625,66.79473686938597,339.7876676960885
6.6875,56.84474297447054,327.9320243087386
6.75,56.35997460963517,366.8707266689035
6.8125,58.04608901368635,346.28018813904913
6.875,36.356638045643905,374.93094875036195
6.9375,41.37566795596203,348.82751836771286
7.0,42.338215245374876,306.68542136081317
7.0625,70.99330029971927,330.88356078316696
7.125,74.45010591844513,297.0062059122521
7.1875,70.36189660243835,307.8675672680801
7.25,62.65779789920067,330.00214850559894
7.3125,80.70659748716693,328.168471818721
7.375,71.1071273391691,324.5219942317085
7.4375,73.7021070938614,322.4631043726356
7.5,56.95542780828548,331.93361312086824
7.5625,42.4238352989493,300.2607317998481
7.625,50.957830994749614,309.6462199942118
7.6875,31.416350141854732,356.7430902075796
7.75,40.20220825080818,300.6527010975153
7.8125,55.2431328776298,345.4193004569573
7.875,42.84675850638178,315.2356856369648
7.9375,44.94661147942977,300.3982158897696
8.0,47.776789979362576,297.17590688684
8.0625,49.45410523054934,323.6105475779826
8.125,58.30354121360336,303.0786359128893
8.1875,26.21513176082514,292.72136675428584
8.25,31.71167285604419,338.85947086708705
8.3125,36.64887125365752,293.2534335318644
